"Project Cost Report"
"Generated: 18/01/2026"

"COST SUMMARY"
"Metric","Value"
"Total Cost","$215,130"
"Labour Cost","$125,680"
"Plant Cost","$89,450"
"Budget Total","$250,000"
"Budget Variance","$34,870"
"Approved Dockets","47"
"Pending Dockets","3"

"COSTS BY SUBCONTRACTOR"
"Subcontractor","Labour Cost","Plant Cost","Total Cost","Approved Dockets"
"ABC Earthworks Pty Ltd","$45,200","$32,100","$77,300","18"
"XYZ Drainage Services","$38,450","$28,500","$66,950","15"
"Premier Paving Co","$42,030","$28,850","$70,880","14"

"COSTS BY LOT"
"Lot","Activity","Budget","Actual Cost","Variance"
"LOT-001","Earthworks","$45,000","$38,500","+$6,500"
"LOT-002","Drainage","$32,000","$35,200","-$3,200"
"LOT-003","Pavement","$78,000","$71,430","+$6,570"
"LOT-004","Concrete","$95,000","$70,000","+$25,000"
