,TMR BIM File Naming Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Underscore,,,,,,,,
,PROJECT ID,-,ORIGINATOR,,-,PACKAGE NUMBER,,,,,,,,,,,-,TYPE,,-,SUB TYPE,,,SEQUENCE No,_,REVISION,,,,,,,
,Z Z Z Z Z Z Z,-,Y Y Y,,-,X X ,,,WW,,,VV,, ,UU,,-,T T T,,-,SS,,,R R R R,_,Q Q QQQ,,,,,,,
,7 - 11 Digits/Char,,3 Char,,,8 Digits/Char,,,,,,,,,,,,3 Char,,,2 Char,,,4 Char,,2-5 Char,,,,,,,
,Project ID,,Company Originator,,,Location,,,Area,,,Discipline,,,Category,,,Document Types,,,Sub Type,,,SEQUENCE No,,Revision,,,,,,,
,BHUAA2UR,,Code,Name,,Code,Location,,No.,Name,,Code,Name,,Code,Name,,Code,Name,,Code,Name,,AUTO,,Code,Stage,,,,,,
,,,CON,ARU,,00,Global,,00-99,Free Text …,,AM,Asset Management,,AD,Administration,,AGR,Agreement,,00,Other Documents,,Allocated by Document Control,,"PO1.1,  PO1.2, PO1.3…",WIP,,,,,,
,,,TMR,TMR,,10,EARLY WORKS,,Determined by the DJV and CJV,,,CH,Cultural Heritage,,AL,Alignment & Geometry,,ANX,Annexures,,AL,Horizontal / Vertical Alignment Details,,,,"PO1, PO2, PO3 …",SHARED,,,,,,
,,,CJV,Construction Joint Venture,,20,ARTHUR DREWETT DRIVE,,,,,CI,Civil,,AM,Asset Management,,APP,Appendix,,BR,Bridge Layout / Details,,,,"CO1, CO2, CO3 …..",PUBLISHED,,,,,,
,,,TEL,Telstra,,30,SOUTH,,,,,CM,Contract (CPA) Management,,AQ,Air Quality,,BIM,Building Information Modeling,,BW,Bikeway Layout / Details,,,,,,,,,,,
,,,ENE,Energex,,40,NORTH,,,,,CS,Communication and Stakeholders,,AU,Auditing,,CAD,Computer Aided Drafting and Design,,CA,Catchment,,,,,,,,,,,
,,,,,,,,,,,,DW,Demolition Works,,AW,Accommodation Works,,CAL,Calculation,,CC,Cut and Cover Tunnel Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,EL,Electrical,,BM,BIM,,CDP,Combined Drawing Package,,CD,Construction Drawing,,,,,,,,,,,
,,,,,,,,,,,,EN,Environmental,,BR,Bridge Structures,,CER,Certification,,CL,Control Line and Set out Details,,,,,,,,,,,
,,,,,,,,,,,,GE,Geotechnical,,BW,Bikeways,,CHK,Checklist,,CM,Communications Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,HS,Health and Safety,,CH,Cultural Heritage,,CHT,Chart,,CO,Concept Drawing,,,,,,,,,,,
,,,,,,,,,,,,IN,Incident Reporting,,CL,ASS / Contaminated Land Plans,,CMS,Construction Method Statement,,CP,Concrete Pavement Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,IO,Inspections and Observations,,CM,Contract (CPA) Management,,COM,Comment Sheet,,CR,Compensatory Revegetation Layouts,,,,,,,,,,,
,,,,,,,,,,,,MO,Monitoring,,CO,Construction Management,,CON,Contract,,CS,Construction Sequencing/Temp. Works Layout/Details,,,,,,,,,,,
,,,,,,,,,,,,MR,Maintenance Responsibility,,CP,Car Park,,COR,General Correspondence,,CT,Construction Tables,,,,,,,,,,,
,,,,,,,,,,,,OP,Operations,,CS,Communication and Stakeholders,,CRT,Certificate,,DD,Drainage Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,PL,Project Planning,,DR,Drainage,,DCN,Design Change Notification,,DI,"Locality Plan, Drawing Index/Works Element Index",,,,,,,,,,,
,,,,,,,,,,,,PM,Project Management,,DE,Design Management,,DMX,Distribution Matrix,,DK,Drawing Key Diagram,,,,,,,,,,,
,,,,,,,,,,,,PR,Procurement,,DU,Durability,,DNC,Design Non Compliance,,DS,Detail Setout,,,,,,,,,,,
,,,,,,,NOTE:,,,,,PU,Public Utilities / Services,,DW,Demolition Works,,DOC,Document,,DT,Driven Tunnel Layout / Details,,,,,,,,,,,
,,,,,,,"Project ID, Company Originator ",,,,,QA,Quality Assurance,,ED,Environmental Design,,DRG,Drawing,,EC,Enviromental Management Plan(Construction Layouts),,,,,,,,,,,
,,,,,,,Location and Area are project specific,,,,,RB,Road Barriers,,EE,Electricity/Power,,DSH,Datasheet,,EF,Existing Features,,,,,,,,,,,
,,,,,,,,,,,,SD,Scheduling,,EF,Existing Features/Conflicts,,EDD,Extended Design Domain,,EL,Electrical Services Layout / Details,,,,,,,,,,,
,,,,,,,Additional Code and Name entries for,,,,,SH,Stakeholders,,EL,Electrical,,EST,Estimate,,EM,Enviromental Features and Management Layouts,,,,,,,,,,,
,,,,,,,"Discipline, Category, Document Type and Sub Type",,,,,SM,Subcontractor Management,,EM,Environmental Features and Management,,FLD,Flowchart/Flow Diagram,,ES,Erosion & Sediment Control Layout / Details,,,,,,,,,,,
,,,,,,,can be included for specific project requirements.,,,,,ST,Structural,,ES,Erosion & Sediment Control,,FNT,File Note,,EW,Earthworks,,,,,,,,,,,
,,,,,,,,,,,,SU,Survey,,EW,Earthworks,,FRM,Form,,FN,Fencing Details,,,,,,,,,,,
,,,,,,,,,,,,SW,SWTC Documentation Package,,FF,Flora and Fauna Management,,GIS,GIS Data,,GA,General Arrangement Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,SW,SWTC Documentation,,FN,Fencing,,GUI,Guideline,,GD,General Details,,,,,,,,,,,
,,,,,,,,,,,,TM,Traffic Management,,GA,Gas,,IDR,Inter-Discipline Review,,GE,Geotechnical Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,TW,Temporary Work,,GE,Geotechnical,,IMG,Image,,IN,Interchange Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,WB,Waterway Barrier Works / Water,,GI,Geotechnical Investigation,,IND,Induction,,IS,Intersection Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,GM,Ground Monitoring,,INV,Invoice,,IT,ITS Layout / Detail,,,,,,,,,,,
,,,,,,,,,,,,,,,GT,Ground Treatment,,IPR,Independent Review,,LI,Limited Access Plan,,,,,,,,,,,
,,,,,,,,,,,,,,,HF,Hydrology and Flooding,,ITP,Inspection and Test Plan,,LP,Locality Plan,,,,,,,,,,,
,,,,,,,,,,,,,,,HR,Human Resource Management,,LIC,Licence,,LR,Landscape and Revegetation Layouts / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,HS,Health and Safety,,LST,List,,LS,Longitudinal Section,,,,,,,,,,,
,,,,,,,,,,,,,,,IM,Information Management,,LTR,Letter,,MD,Miscellaneous Details,,,,,,,,,,,
,,,,,,,,,,,,,,,IN,Incident Reporting,,MAN,Manual,,ME,Mechanical Services,,,,,,,,,,,
,,,,,,,,,,,,,,,IO,Inspections and Observations,,MAP,Maps,,NB,Noise Barriers Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,IT,Intelligent Transport Systems,,MED,Media Briefings,,NL,Notes / Legends,,,,,,,,,,,
,,,,,,,,,,,,,,,LI,Lighting,,MIN,Minutes of Meeting,,PA,Private Access Location / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,LP,Lane future proofing,,MOD,Model,,PC,Power / Communications Network Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,LR,Landscape and Revegetation,,MRT,Monthly Report,,PD,Pavement Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,MA,Maintenance,,NCR,Non Conformance Report,,PE,Pedestrian Path Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,MO,Monitoring,,NOT,Notification,,PP,Plan and Profile,,,,,,,,,,,
,,,,,,,,,,,,,,,MR,Maintenance Responsibility,,PAM,Flyer/Pamphlet,,PU,Public Utility Plant Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,NA,Noise,,PCL,Progress Claim,,RE,Rehabilitation Works Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,NB,Noise Walls/Barriers,,PDC,Procedure,,RF,Road Furniture,,,,,,,,,,,
,,,,,,,,,,,,,,,OM,Operations & Maintenance,,PER,Permit,,RL,Roadway Lighting Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,OS,Other Structures,,PFD,Process Flow Diagram,,RP,Resumption Plan,,,,,,,,,,,
,,,,,,,,,,,,,,,PA,Pavement,,PLN,Plan,,RS,Relieving Slab Details,,,,,,,,,,,
,,,,,,,,,,,,,,,PE,Public Utilitie Plant / Existing Services,,PMS,Process Method Statement,,SD,Structural Details,,,,,,,,,,,
,,,,,,,,,,,,,,,PI,Piling,,POD,Position Description,,SF,Signs / Signs Fixtures,,,,,,,,,,,
,,,,,,,,,,,,,,,PL,Project Planning,,POL,Policy,,SK,Sketch Drawing,,,,,,,,,,,
,,,,,,,,,,,,,,,PN,Public Utilitie Plant / New Services,,PRG,Program,,SL,Signs and Pavement Markings Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,PR,Procurement,,PRO,Procedure,,SN,Structural Notes and / or Legend,,,,,,,,,,,
,,,,,,,,,,,,,,,QM,Quality Management,,PRT,Progress Report,,SP,Site Plan,,,,,,,,,,,
,,,,,,,,,,,,,,,RA,Rail,,PTC,Post Tender Correspondence,,SS,Soil Suitability Layouts,,,,,,,,,,,
,,,,,,,,,,,,,,,RB,Road Barriers,,PTN,Presentation,,ST,Signs / Traffic Control,,,,,,,,,,,
,,,,,,,,,,,,,,,RF,Road Furniture,,REG,Register,,TC,Typical Cross Sections and Details,,,,,,,,,,,
,,,,,,,,,,,,,,,RI,Risk Management,,RES,Resume / CV,,TD,Turnout Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,RK,Risk,,RFQ,Request for Quotation,,TM,Traffic Management Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,RL,Road Lighting,,RIA,Risk Assessment,,TN,Technical Note,,,,,,,,,,,
,,,,,,,,,,,,,,,RM,Rehabilitation Monitoring,,RPT,Report,,TS,Traffic Signal Layouts / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,RP,Resumption,,RSA,Road Safety Audit,,TU,Tunnel Layout / Details,,,,,,,,,,,
,,,,,,,,,,,,,,,RW,Retaining Walls,,SAB,Safety Alert / Bulletin,,WP,Working Plan,,,,,,,,,,,
,,,,,,,,,,,,,,,SD,Scheduling,,SCH,Schedule,,XR,External Reference,,,,,,,,,,,
,,,,,,,,,,,,,,,SE,Sewer,,SKT,Sketch,,XS,Cross Sections,,,,,,,,,,,
,,,,,,,,,,,,,,,SH,Stakeholders,,SML,Spatial / Survey Model,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SL,Signs and Lines,,SOP,Safe Operating Procedure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SM,Subcontractor Management,,SOP,Standard Operation Procedure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SU,Survey,,SOS,Scope of Service,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SW,Storm Water,,SOW,Scope of Work,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TA,Traffic Modelling & Analysis,,SPC,Specification,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TC,Traffic Control,,STD,Standard,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TE,temporary Work,,SUP,Supplementary Specification,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TM,Traffic Management,,SUR,Survey,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TS,Traffic Signals,,SWM,Safe Work Method Statement,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TW,Temporary Work,,TMP,Template,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VW,Vegetation and Weed Management,,TNE,Technical Notes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WA,Water,,TQY,Technical Query,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WB,Waterway Barrier Works / Water,,TSC,Technical Schedule,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WQ,Water Quality,,UAT,User Acceptance Test,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ZZ,Project Close-out,,WBS,Work Breakdown Structure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,WIN,Work Instructions,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,WMS,Work Method Statement,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,WTY,Warranty,,,,,,,,,,,,,,
