,Table 1: Headstocks,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-AA-A-HS
,,Concrete Quantity (m3) - Design,15.0
,,Element Depth ,1.0
,,Element Length,10
,,Element Width ,1.5
,As-Con Information,Full BIM Object Code,43614-AA-A-HS
,,Concrete Quantity (m3) - As-Con,15.5
,,Contractor Lot Number,HS 02
,Asset Management Information,Full BIM Object Code ,43614-AA-A-HS
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,A
,,SIM Exposure Classification Code,4
,,SIM Group Code,A
,,SIM Group Number,1
,,SIM Modification Status Code,L2
,,SIM Quantity (each),1
,,SIM Standard Material Code,C
,,SIM Standard Number Code,50
