,Table 14: Concrete traffic barriers,,,,
,IFC Property Set,Attribute Name,Example ,,
,Project Level Information,BIS Structure ID,43614,,
,,Width between kerbs,9.2m,,
,,Minimum design clearance,5.33m,,
,,Minimum as constructed clearance,5.44m,,
,,Model is certified issued for construction (RPEQ),7274,,
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322,,
,Design Information,Full BIM Object Code,43614-S1-T-TC-1,,
,,Concrete Quantity (m3) - Design,8.0,,
,,Element Depth ,1.25,,
,,Element Length,10.0,,
,,Element Width - Bottom,0.740,,
,,Element Width - Top,0.310,,
,As-Con Information,Full BIM Object Code,43614-S1-T-TC-1,,
,,Contractor Lot Number,CB07,,
,,Concrete Quantity (m3) - As-Con,8.7,,
,Asset Management Information,Full BIM Object Code ,43614-S1-T-TC-1,,
,,Comments ,comment',,
,,Most Recent Level 2 Inspection,date',,
,,SIM Component Code,BR,,
,,SIM Exposure Classification Code,2,,
,,SIM Group Code,S,,
,,SIM Group Number,1,,
,,SIM Modification Status Code,S1,,
,,SIM Quantity (lin/m),22.6,,
,,SIM Standard Material Code,C,,
,,SIM Standard Number Code,2,,
