,Table 15: Pedestrian balustrades,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-S2-T-BA
,,Element Length,5.1
,As-Con Information,Full BIM Object Code,43614-S2-T-BA
,,Contractor Lot Number,0B 82
,Asset Management Information,Full BIM Object Code ,43614-S2-T-BA
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,BR
,,SIM Exposure Classification Code,4
,,SIM Group Code,S
,,SIM Group Number,2
,,SIM Modification Status Code,L1
,,SIM Quantity (lin/m),10.9
,,SIM Standard Material Code,S
,,SIM Standard Number Code,2
