,Table 22: Restraint blocks,,,,
,IFC Property Set,Attribute Name,Example ,,
,Project Level Information,BIS Structure ID,43614,,
,,Width between kerbs,9.2m,,
,,Minimum design clearance,5.33m,,
,,Minimum as constructed clearance,5.44m,,
,,Model is certified issued for construction (RPEQ),7274,,
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322,,
,Design Information,Full BIM Object Code ,43614-P2-B-RB-4,,
,,Element Depth ,0.25,,
,,Element Length,0.4,,
,,Element Width ,0.3,,
,Asset Management Information,Full BIM Object Code ,43614-P2-B-RB-4,,
,,Comments ,comment',,
,,Most Recent Level 2 Inspection,date',,
,,SIM Component Code,RA,,
,,SIM Exposure Classification Code,4,,
,,SIM Group Code,P,,
,,SIM Group Number,2,,
,,SIM Modification Status Code,WR1,,
,,SIM Quantity (each),1,,
,,SIM Standard Material Code,O,,
,,SIM Standard Number Code,45,,
