,Table 25: Cast insitu decks,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-S1-D-DK
,,Concrete Quantity (m3) - Design,20.0
,,Element Depth ,0.21
,,Element Length,30
,,Element Width ,9.2
,As-Con Information,Full BIM Object Code,43614-S1-D-DK
,,Concrete Quantity (m3) - As-Con,22
,,Contractor Lot Number,RD29
,Asset Management Information,Full BIM Object Code ,43614-S1-D-DK
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,D
,,SIM Exposure Classification Code,2
,,SIM Group Code,S
,,SIM Group Number,1
,,SIM Modification Status Code,S2
,,SIM Quantity (m2),1292.3
,,SIM Standard Material Code,C
,,SIM Standard Number Code,20
