,Table 26: Deck wearing surfaces,,,,
,IFC Property Set,Attribute Name,Example ,,
,Project Level Information,BIS Structure ID,43614,,
,,Width between kerbs,9.2m,,
,,Minimum design clearance,5.33m,,
,,Minimum as constructed clearance,5.44m,,
,,Model is certified issued for construction (RPEQ),7274,,
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322,,
,Design Information,Full BIM Object Code ,43614-S1-D-AC,,
,,Element Depth ,.060 min,,
,Asset Management Information,Full BIM Object Code ,43614-S1-D-AC,,
,,Comments ,comment',,
,,Most Recent Level 2 Inspection,date',,
,,SIM Component Code,WS,,
,,SIM Exposure Classification Code,4,,
,,SIM Group Code,S,,
,,SIM Group Number,1,,
,,SIM Modification Status Code,WR1,,
,,SIM Quantity (m2),94,,
,,SIM Standard Material Code,O,,
,,SIM Standard Number Code,1,,
