,Table 27: Footways,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-S3-D-FW
,,Concrete Quantity (m3) - Design,4.5
,,Element Depth ,0.15
,,Element Length,10
,,Element Width ,3.0
,As-Con Information,Full BIM Object Code,43614-S3-D-FW
,,Concrete Quantity (m3) - As-Con,22
,,Contractor Lot Number,FW31
,Asset Management Information,Full BIM Object Code ,43614-S3-D-FW
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,FY
,,SIM Exposure Classification Code,3
,,SIM Group Code,S
,,SIM Group Number,3
,,SIM Modification Status Code,O
,,SIM Quantity (lin/m),30
,,SIM Standard Material Code,C
,,SIM Standard Number Code,4
