,Table 28: Concrete girders,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-S1-G-CG-1-A
,,Element Depth ,1.825
,,Element Length,29.95
,As-Con Information,Full BIM Object Code,43614-S1-G-CG-1-A
,,Contractor Lot Number,BsCG10
,Asset Management Information,Full BIM Object Code ,43614-S1-G-CG-1-A
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,G
,,SIM Exposure Classification Code,4
,,SIM Group Code,S
,,SIM Group Number,1
,,SIM Modification Status Code,Re
,,SIM Quantity (lin/m),10
,,SIM Standard Material Code,P
,,SIM Standard Number Code,21
