,Table 3: Abutment protections - Reinforced concrete,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-AB-A-AP
,,Concrete Quantity (m3) - Design,15.0
,,Element Depth ,1.2 min
,As-Con Information,Full BIM Object Code,43614-AB-A-AP
,,Concrete Quantity (m3) - As-Con,16.0
,,Contractor Lot Number,AP 03
,Asset Management Information,Full BIM Object Code ,43614-AB-A-AP
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,PRO
,,SIM Exposure Classification Code,1
,,SIM Group Code,A
,,SIM Group Number,2
,,SIM Modification Status Code,S1
,,SIM Quantity (m2),22
,,SIM Standard Material Code,C
,,SIM Standard Number Code,53
