,Table 30: Winged planks,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-S2-G-WP-1-A
,,Element Depth ,0.85
,,Element Length,19.95
,,Element Width ,0.596
,As-Con Information,Full BIM Object Code,43614-S2-G-WP-1-A
,,Contractor Lot Number,BsDU01
,Asset Management Information,Full BIM Object Code ,43614-S2-G-WP-1-A
,,Comments ,comment'
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,D
,,SIM Exposure Classification Code,2
,,SIM Group Code,S
,,SIM Group Number,2
,,SIM Modification Status Code,O
,,SIM Quantity (each),1
,,SIM Standard Material Code,P
,,SIM Standard Number Code,20
