,Table 31: Cross girders,,,,
,IFC Property Set,Attribute Name,Example ,,
,Project Level Information,BIS Structure ID,43614,,
,,Width between kerbs,9.2m,,
,,Minimum design clearance,5.33m,,
,,Minimum as constructed clearance,5.44m,,
,,Model is certified issued for construction (RPEQ),7274,,
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322,,
,Design Information,Full BIM Object Code,43614-P2-D-XG,,
,,Concrete Quantity (m3) - Design,1.6,,
,,Element Width ,.800,,
,As-Con Information,Full BIM Object Code,43614-P2-D-XG,,
,,Concrete Quantity (m3) - As-Con,1.5,,
,,Contractor Lot Number,CG 03,,
,Asset Management Information,Full BIM Object Code ,43614-P2-D-XG,,
,,Comments ,comment',,
,,Most Recent Level 2 Inspection,date',,
,,SIM Component Code,XG,,
,,SIM Exposure Classification Code,2,,
,,SIM Group Code,P,,
,,SIM Group Number,2,,
,,SIM Modification Status Code,O,,
,,SIM Quantity (each),3,,
,,SIM Standard Material Code,C,,
,,SIM Standard Number Code,31,,
