,Table 32: Expansion joints,,,,
,IFC Property Set,Attribute Name,Example ,,
,Project Level Information,BIS Structure ID,43614,,
,,Width between kerbs,9.2m,,
,,Minimum design clearance,5.33m,,
,,Minimum as constructed clearance,5.44m,,
,,Model is certified issued for construction (RPEQ),7274,,
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322,,
,Design Information,Full BIM Object Code ,43614-P2-M-EJ,,
,,Element Depth ,0.975,,
,,Element Length,9.4,,
,,Element Width ,0.1,,
,Asset Management Information,Full BIM Object Code ,43614-P2-M-EJ,,
,,Comments ,comment',,
,,Most Recent Level 2 Inspection,date',,
,,SIM Component Code,J,,
,,SIM Exposure Classification Code,4,,
,,SIM Group Code,P,,
,,SIM Group Number,2,,
,,SIM Modification Status Code,WR1,,
,,SIM Quantity (lin/m),9.4,,
,,SIM Standard Material Code,O,,
,,SIM Standard Number Code,13,,
