,Table 9: Bored cylindrical piles,,
,IFC Property Set,Attribute Name,Example 
,Project Level Information,BIS Structure ID,43614
,,Width between kerbs,9.2m
,,Minimum design clearance,5.33m
,,Minimum as constructed clearance,5.44m
,,Model is certified issued for construction (RPEQ),7274
,,Model is certified as constructed (Name + Surveyors Accreditation),DK Lillee Reg Surv 3322
,Design Information,Full BIM Object Code,43614-AA-F-CP-1
,,Element Diameter,1.200
,,Element Length,16.95
,As-Con Information,Full BIM Object Code,43614-AA-F-CP-1
,,Concrete Quantity (m3) - As-Con,9.2
,,Contractor Lot Number,BsPP01
,Asset Management Information,Full BIM Object Code ,43614-AA-F-CP-1
,,Comments ,comment
,,Most Recent Level 2 Inspection,date'
,,SIM Component Code,C
,,SIM Exposure Classification Code,2
,,SIM Group Code,A
,,SIM Group Number,1
,,SIM Modification Status Code,WL1
,,SIM Quantity (each),1
,,SIM Standard Material Code,C
,,SIM Standard Number Code,56
