,Table 9. Camera Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,100/120/10
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-CAMPTZ-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,ASSET NUMBER ONSITE,Abbott 01
,,ROAR ASSET TYPE,CAMPTZ - Pan Tilt and Zoom Camera
,,LATITUDE OF ASSET,-19.31727454
,,LONGITUDE OF ASSET,146.8248189
,,MOUNTING HEIGHT (m),10.5
,,PLAN OR DRAWING NUMBERS,67890 - 67895
,,PARENT ENCLOSURE ID,ITSC1245235
,,POINT OF SUPPLY,SP6789012
,,MOUNTING STRUCTURE ID,POLE452635
,,POWER CONSUMPTION (W),10
,,DESIGN VERIFIED BY,John Citizen 15911
,,DESIGN VERIFIED DATE,2010-04-20 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-CAMPTZ-0001
,,INSTALLATION DATE,2010-05-20 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2010-05-20 00:00:00
,,COMMISSIONED BY,John Citizen
,,NETWORK,FLIR
,,IP ADDRESS,10.255.99.99
,,ASSET INSTALLATION COST,
,,WEB VIDEO URL,
,,COMMENTS,20/5/10 Access to asset restricted
,,MANUFACTURER NAME,PELCO
,,MODEL,Pelco ES6320
,,SUPPLIER NAME,PELCO
,,SERIAL NUMBER,123456789
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2010-04-20 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-CAMPTZ-0001
,,ASSET_ID,CAMPTZ175897
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
