,Table 13. Communication Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,200/10A/20
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-COMPHP-0001
,,SUBURB,CARSELDINE
,,ROAD NAME ,BEAMS ROAD
,,ROAD ID ,BRC254
,,ASSET NUMBER ONSITE,HP106
,,ROAR ASSET TYPE,COMPHP - Push-to-Talk Help Phone
,,LATITUDE OF ASSET,-27.179979
,,LONGITUDE OF ASSET,152.984363
,,MOUNTING HEIGHT (m),1.2
,,PLAN OR DRAWING NUMBERS,62153
,,PARENT ENCLOSURE ID,ENCITSxxxxxx
,,POINT OF SUPPLY,U1526603
,,MOUNTING STRUCTURE ID,MTSPSTxxxxxx
,,IP RATING,IP65
,,POWER CONSUMPTION (W),1
,,DESIGN VERIFIED BY,John Citizen
,,DESIGN VERIFIED DATE,2010-05-20 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-COMPHP-0001
,,INSTALLATION DATE,2010-05-20 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2010-05-20 00:00:00
,,COMMISSIONED BY,John Citizen
,,IP ADDRESS,10.255.99.99
,,PABX NUMBER,6106
,,PUK CODE,9856 4578
,,PHONE NUMBER,0417 066 734
,,ASSET INSTALLATION COST,
,,COMMENTS,20/5/10 Climatic environment restricted access
,,MANUFACTURER NAME,Clearsonics
,,MODEL,Way Phone - Pedestal
,,SUPPLIER NAME,Clearsonics
,,SERIAL NUMBER,321465987
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2010-04-20 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-COMPHP-0001
,,ASSET_ID,COMPHP154082
,,WARRANTY PERIOD (MONTHS),24
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,MAINTENANCE INTERVAL (MONTHS),12
