,Table 10. Detector Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,201/U12A/100
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DETLDV-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,ASSET NUMBER ONSITE,M2172/CL10
,,ROAR ASSET TYPE,DETLDV - Loop Detector for Vehicles
,,LATITUDE OF ASSET,-27.389688
,,LONGITUDE OF ASSET,152.985168
,,MOUNTING HEIGHT (m),0
,,PLAN OR DRAWING NUMBERS,535436
,,PARENT ENCLOSURE ID,ITSC096335
,,POINT OF SUPPLY,U151245
,,MOUNTING STRUCTURE ID,N/A
,,POWER CONSUMPTION (W),10
,,DESIGN VERIFIED BY,John Citizen 15911
,,DESIGN VERIFIED DATE,2018-09-07 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DETLDV-0001
,,INSTALLATION DATE,2018-09-07 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2018-09-07 00:00:00
,,COMMISSIONED BY,John Citizen
,,DETECTOR IMEI,N/A
,,MODEM IP ADDRESS,N/A
,,GATEWAY IP ADDRESS,N/A
,,SUBNET IP ADDRESS,N/A
,,AUDIO TACTILE,N/A
,,ASSET INSTALLATION COST,
,,COMMENTS,07/09/18 Access to asset restricted
,,MANUFACTURER NAME,Nortech International
,,MODEL,Excel Technology Co XL1000 W
,,SUPPLIER NAME,Nortech International Pty Ltd
,,SERIAL NUMBER,451234578
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2018-05-08 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DETLDV-0001
,,ASSET_ID,DETLDV044900
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
