,Table 8.  Dynamic Sign Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2019
,,ROAD ID,MC1A0
,,PROJECT NUMBER,400/U18A/40
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DYNVSL-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,ASSET NUMBER ONSITE,MWF308VSL02S-ON
,,ROAR ASSET TYPE,DYNVSL - Variable Speed Limit Sign
,,LATITUDE OF ASSET,-27.50396
,,LONGITUDE OF ASSET,152.96354
,,MOUNTING HEIGHT (m),4.1
,,PLAN OR DRAWING NUMBERS,629700 - 629710
,,PARENT ENCLOSURE ID,SWB874231
,,POINT OF SUPPLY,P123454
,,MOUNTING STRUCTURE ID,PST051112
,,RAMP INFORMATION SIGN TYPE,N/A
,,DYNAMIC SIGN SIZE CATEGORY,Size C
,,DYNAMIC SIGN SIZE (m),0.9 x 1.2
,,DYNAMIC SIGN PIXEL DISPLAY,Size C RW
,,POWER CONSUMPTION (W),10
,,DESIGN VERIFIED BY,Jane Citizen 12346
,,DESIGN VERIFIED DATE,2015-06-16 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DYNVSL-0001
,,INSTALLATION DATE,2015-09-15 00:00:00
,,INSTALLED BY,Jane Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2015-09-15 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,LOCATION MARKER SIGN,WF 308 SV
,,ASSET INSTALLATION COST,
,,COMMENTS,24/07/18 Graffiti removed from sign face
,,MANUFACTURER NAME,J1-LED
,,MODEL,JT-D-0015-360
,,SUPPLIER NAME,J1-LED
,,SERIAL NUMBER,2017-09-409
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2015-07-20 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-DYNVSL-0001
,,ASSET_ID,DYNVSL182097
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
