,Table 4. Enclosure Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,200/U18B/1
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENCTSC-0001
,,SUBURB,Fortitude Valley
,,ROAD NAME ,Gympie Road
,,SITE_ID,10A-4584
,,ASSET NUMBER ONSITE,M1993
,,ROAR ASSET TYPE,ENCTSC - Traffic Signal Controller Enclosure
,,LATITUDE OF ASSET,-27.40757
,,LONGITUDE OF ASSET,152.995518
,,MOUNTING HEIGHT (m),0
,,PARENT ENCLOSURE ID,
,,PLAN OR DRAWING NUMBERS,815912 C & 815913 C
,,POINT OF SUPPLY,U1234560
,,MOUNTING STRUCTURE ID,N/A
,,IP RATING,IP65
,,IK RATING,IK08
,,DESIGN VERIFIED BY,Jane Bloggs 18566
,,DESIGN VERIFIED DATE,2020-07-01 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENCTSC-0001
,,INSTALLATION DATE,2021-01-27 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,MEASURED RUNNING LOAD (A),80
,,MEASURED RUNNING LOAD DATE,2021-05-19 00:00:00
,,COMMISSIONING DATE,2021-05-19 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,CYBERLOCKED,Yes
,,ELECTRICITY DISTRIBUTOR,Energex
,,ELECTRICITY RETAILER,CS Energy
,,TARIFF,91
,,NATIONAL METERING IDENTIFIER,9876541234
,,ASSET INSTALLATION COST,2500
,,COMMENTS,19/5/21 PVI undertaken as part of installs
,,MANUFACTURER NAME,KVM
,,MODEL,TC416-QTMR
,,SUPPLIER NAME,KVM
,,SERIAL NUMBER,ATC-2008-4939
,,ASSET PURCHASE COST,2500
,,DATE RECEIVED,2020-07-28 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENCTSC-0001
,,ASSET_ID,ENCTSC446697
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),36
,,MAINTENANCE INTERVAL (MONTHS),12
