,Table 11. Environmental Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Wide Bay Burnett
,,ASSET OWNER,TMR
,,DATUM,GDA94
,,COORDINATE YEAR,2020
,,ROAD ID,MC1A0
,,PROJECT NUMBER,400/914/40
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENVPTS-0001
,,SUBURB,Bundaberg North
,,ROAD NAME ,Hinkler Avenua
,,SITE_ID,HABN746
,,ASSET NUMBER ONSITE,FM014
,,ROAR ASSET TYPE,ENVPTS - Pressure Transducer Sensor
,,LATITUDE OF ASSET,-26.25956111
,,LONGITUDE OF ASSET,152.7047278
,,MOUNTING HEIGHT (m),8
,,PLAN OR DRAWING NUMBERS,211245
,,PARENT ENCLOSURE ID,ITSC258741
,,POINT OF SUPPLY,P951357
,,MOUNTING STRUCTURE ID,MTSPOL423651
,,BATTERY VOLTAGE (V),13.4
,,SYSTEM PLATFORM,Flood Monitor Australia
,,IP RATING,IP65
,,POWER CONSUMPTION (W),5
,,DESIGN VERIFIED BY,Jane Citizen 12346
,,DESIGN VERIFIED DATE,2020-04-03 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENVPTS-0001
,,INSTALLATION DATE,2020-09-08 00:00:00
,,INSTALLED BY,Jane Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2020-09-08 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,BACKUP BATTERY,Yes
,,IP ADDRESS,122.142.04.01
,,ASSET INSTALLATION COST,
,,COMMENTS,02/03/19 Access from bridge deck
,,MANUFACTURER NAME,Campbell Scientific
,,MODEL,CS451
,,SUPPLIER NAME,Campbell Scientific
,,SERIAL NUMBER,221146317
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2020-07-07 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-ENVPTS-0001
,,ASSET_ID,ENVPTS985321
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
