,Table 12. Lantern Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,140/U21/22
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LANVRA-0001
,,ROAD NAME ,IPSWICH ROAD
,,SUBURB,Moorooka
,,SITE_ID,IRM547
,,ASSET NUMBER ONSITE,BCC-13
,,ROAR ASSET TYPE,LANVRA - Vehicle Roundel Aspect
,,LATITUDE OF ASSET,-27.507089
,,LONGITUDE OF ASSET,152.949368
,,MOUNTING HEIGHT (m),4.1
,,PLAN OR DRAWING NUMBERS,455796 - 455898
,,STATION NUMBER,
,,SIGNAL GROUP NUMBER,
,,PARENT ENCLOSURE ID,TSC047372
,,POINT OF SUPPLY,P70174
,,MOUNTING STRUCTURE ID,MTSPST112222
,,ALDRIDGE TRAFFIC SYSTEMS MODEL,RA563 - 3 x 200mm Roundel Aspect Red/Yellow/Green
,,POWER CONSUMPTION (W),8.3
,,DESIGN VERIFIED BY,Frank Citizen 12000
,,DESIGN VERIFIED DATE,2009-07-05 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LANVRA-0001
,,INSTALLATION DATE,2010-10-01 00:00:00
,,INSTALLED BY,Joe Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2010-10-06 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,ASSET INSTALLATION COST,1904-12-04 00:00:00
,,COMMENTS,20/5/10 Climatic environment restricted access
,,MANUFACTURER NAME,Aldridge Traffic Systems
,,SUPPLIER NAME,Aldridge Traffic Systems
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2010-10-01 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LANVRA-0001
,,ASSET_ID,LANVRA180656
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
