,Table 7. Luminaire Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,100/C060/10
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LMRLED-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,POLE NUMBER ONSITE,W1341474
,,SLOT NUMBER,
,,ENERGY SUPPLIER DESCRIPTION,L0169
,,ROAR ASSET TYPE,LMRLED - Light Emitting Diode
,,LATITUDE OF ASSET,-27.5061
,,LONGITUDE OF ASSET,152.963389
,,MOUNTING HEIGHT (m),9
,,PLAN OR DRAWING NUMBERS,356880
,,SWITCHBOARD ID,SWB152614
,,POINT OF SUPPLY,P2250023
,,MOUNTING STRUCTURE ID,POLE425119
,,POLE ID,
,,AS 1158 DESIGN CATEGORY,Roadway (AS 1158.1.1)
,,LUMINAIRE CHAMBER TYPE,Semi Cut Off
,,POWER CONSUMPTION (W),17
,,DESIGN VERIFIED BY,John Citizen 15911
,,DESIGN VERIFIED DATE,2010-05-20 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LMRLED-0001
,,INSTALLATION DATE,2010-08-20 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2010-08-20 00:00:00
,,COMMISSIONED BY,John Citizen
,,GLARE TREATMENT,No Glare Treatment
,,ELECTRICITY DISTRIBUTOR,Energex
,,ELECTRICITY RETAILER,AGL
,,RATE,Rate 3
,,TARIFF,71
,,NATIONAL METERING IDENTIFIER,31950000212
,,SLC INSTALLED,Yes
,,ACTUAL ACCEPTANCE DATE,2010-04-20 00:00:00
,,SLC INSTALL DATE,2010-05-20 00:00:00
,,SLC ASSET ID,LEDSLC001127
,,SLC MANUFACTURER,CIMCON
,,SLC IMEI,654987321654987
,,SLC MODEL,iSLC3100-7P-N
,,SLC WARRANTY PERIOD (MONTHS),60
,,SLC COMMISSIONING DATE,2010-05-20 00:00:00
,,SLC LATITUDE,-27.5060998
,,SLC LONGITUDE,152.9633892
,,SLC OPERATIONAL STATUS,Commissioned
,,ASSET INSTALLATION COST,
,,COMMENTS,20/5/10 Access to asset restricted
,,MANUFACTURER NAME,Gerard Lighting Sylvania
,,MODEL,StreetLED 3 17W
,,SUPPLIER NAME,GERARD
,,SERIAL NUMBER,PA46132798
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2010-07-20 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-LMRLED-0001
,,ASSET_ID,LMRLED425120
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),60
,,MAINTENANCE INTERVAL (MONTHS),12
