,Table 6. Mounting Structure Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,201/U27/1
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-MTSPOL-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,ASSET NUMBER ONSITE,W665776
,,ROAR ASSET TYPE,MTSPOL - Pole
,,LATITUDE OF ASSET,-27.45191
,,LONGITUDE OF ASSET,153.11464
,,REDUCED LEVEL IN AHD (m),-0.372
,,PLAN OR DRAWING NUMBERS,544957
,,SD1699 POLE OR POST PART NO.,230
,,SD1699 POLE OR POST PART NO. DESCRIPTION,"Pole, 7.0m, SBM"
,,SD1699 OUTREACH NO.,225
,,SD1699 OUTREACH NO. DESCRIPTION,"Outreach, road lighting, 1.5m, single"
,,MOUNTING ARRANGEMENT,Slip Base
,,POLE OR POST TYPE,Round
,,POLE OR POST MATERIAL,Galvanised Steel
,,POLE OR POST HEIGHT (m),7
,,OUTREACH OR BRKT ARRANGEMENT,1.5m Single
,,DESIGN VERIFIED BY,John Citizen 15911
,,DESIGN VERIFIED DATE,2010-03-20 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-MTSPOL-0001
,,INSTALLATION DATE,2010-05-20 00:00:00
,,INSTALLED BY,John Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,TRAFFIC FINIAL BARRIER,N/A
,,ASSET INSTALLATION COST,
,,COMMENTS,20/5/10 Climatic environment restricted access
,,MANUFACTURER NAME,GM Poles
,,MODEL,SP-12
,,SUPPLIER NAME,GM Poles
,,SERIAL NUMBER,567890123
,,ASSET PURCHASE COST,
,,DATE RECEIVED,2010-04-20 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-MTSPOL-0001
,,ASSET_ID,MTSPOL003379
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),120
,,MAINTENANCE INTERVAL (MONTHS),12
