,Table 1. Power Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Far North
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,MC1A0
,,PROJECT NUMBER,400/32A/40
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PWRSOL-0001
,,SUBURB,CARSELDINE
,,ROAD NAME ,BEAMS ROAD
,,SITE_ID,M3237
,,ASSET NUMBER ONSITE,STN1
,,ROAR ASSET TYPE,PWRSOL - Solar Panel
,,LATITUDE OF ASSET,-16.9781033
,,LONGITUDE OF ASSET,145.53226448
,,MOUNTING HEIGHT (m),10.5
,,PLAN OR DRAWING NUMBERS,825748
,,PARENT ENCLOSURE ID,SWB124500
,,MOUNTING STRUCTURE ID,POLE1244510
,,LOAD RATING (kVA),N/A
,,NUMBER OF SOLAR PANELS,2
,,SOLAR PANEL WATTAGE (W),275
,,SOLAR PANEL SIZE (m),1.7 x 1
,,NUMBER OF BATTERIES,N/A
,,BATTERY TYPE,N/A
,,BATTERY RATING (Ah),N/A
,,DESIGN VERIFIED BY,Jane Citizen 12346
,,DESIGN VERIFIED DATE,42130
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PWRSOL-0001
,,INSTALLATION DATE,42130
,,INSTALLED BY,Jane Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2021-05-21 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,ASSET INSTALLATION COST,600
,,COMMENTS,06/05/2018 Asset handed to TMR from council
,,MANUFACTURER NAME,Suntech
,,MODEL,STP275
,,SUPPLIER NAME,Suntech
,,SERIAL NUMBER,1245378310
,,ASSET PURCHASE COST,600
,,DATE RECEIVED,42130
,Asset Management ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PWRSOL-0001
,,ASSET_ID,PWRSOL456789
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),2021-05-21 00:00:00
,,MAINTENANCE INTERVAL (MONTHS),12
