,Table 5. Processor Assets,,
,IFC Property Set,ATTRIBUTE NAME,EXAMPLE
,Project Level,DISTRICT,Metropolitan
,,ASSET OWNER,TMR
,,DATUM,GDA2020
,,COORDINATE YEAR,2021
,,ROAD ID,M3
,,PROJECT NUMBER,200/U13C/20
,Design,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PROFPR-0001
,,SUBURB,Carseldine
,,ROAD NAME ,Gympie Road
,,SITE_ID,GRC545
,,ASSET NUMBER ONSITE,MGN554FP01
,,ROAR ASSET TYPE,PROFPR - Field Processor
,,LATITUDE OF ASSET,-15.762848022622531
,,LONGITUDE OF ASSET,145.448417534788
,,PLAN OR DRAWING NUMBERS,134562 - 134565
,,PARENT ENCLOSURE ID,ITSC188441
,,POINT OF SUPPLY,P214475
,,POWER CONSUMPTION (W),300
,,DESIGN VERIFIED BY,Jane Citizen 12346
,,DESIGN VERIFIED DATE,2014-08-05 00:00:00
,,MODEL IS CERTIFIED ISSUED FOR CONSTRUCTION (RPEQ),Jane Citizen - 12346
,Construction ,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PROFPR-0001
,,INSTALLATION DATE,2014-08-05 00:00:00
,,INSTALLED BY,Jane Citizen
,,"MODEL IS CERTIFIED AS-CONSTRUCTED 
(NAME + SURVEYORS ACCREDITATION)",Jane Citizen - Reg Surv 3322
,,COMMISSIONING DATE,2014-08-05 00:00:00
,,COMMISSIONED BY,Jane Citizen
,,ASSET INSTALLATION COST,1500
,,FIRMWARE VERSION,87546.1154
,,SOFTWARE VERSION,87.221
,,IP ADDRESS,192.158.1.38
,,COMMENTS,20/5/19 Access to asset restricted
,,MANUFACTURER NAME,Transmax
,,MODEL,IT.08
,,SUPPLIER NAME,Transmax
,,SERIAL NUMBER,32198794
,,ASSET PURCHASE COST,1699
,,HARDWARE PLATFORM,Windows
,,KEYBOARD DISPLAY UNIT,
,,DATE RECEIVED,2014-07-05 00:00:00
,Asset Management,UNIQUE OBJECT CODE,IPMWR2D-MC1A0-ITS-PROFPR-0001
,,ASSET_ID,PROFPR189046
,,OPERATIONAL STATUS,PROPOSED
,,OPERATIONAL DATE,2020-04-20 00:00:00
,,WARRANTY PERIOD (MONTHS),24
,,MAINTENANCE INTERVAL (MONTHS),12
