,,Table 1. Road Edge Guide Posts,,,,Table 2. Fencing,,,,Table 3 Gates,,,,Table 4. Road Signs,,,,Table 5. Grids,,,,Table 6. Roadside Safety Barriers,,,,Table 7. Tactile Ground Surface Indicators (TGSI),,,,Table 8. Noise Barriers,,,,
,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,IFC Property Set,Attribute Name,Example,,,
,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,Project,District,Far North,,,
,,AssetOwner,TMR,,,AssetOwner,TMR,,,AssetOwner,TMR,,,AssetOwner,MR,,,AssetOwner,TMR,,,AssetOwner,TMR,,,AssetOwner,TMR,,,AssetOwner,RoadTek,,,
,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,RoadSectionID,41E,,,
,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,Datum,GDA2020,,,
,,Zone,56,,,Zone,56,,,Zone,56,,,Zone,56,,,Zone,56,,,Zone,56,,,Zone,56,,,Zone,56,,,
,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,,,
,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,,,
,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0002,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-SIGN-0001,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-GRID-0001,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-SBCB-0001,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-TGSI-0001,,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-NBPC-0001,,,
,,Specification,MRTS14,,,Specification,MRTS14,,,Specification,MRTS14,,,Specification,MRTS14,,,Specification,MRTS14,,,Specification,MRTS14,,,Type,"Warning, Directional",,,Specification,MRTS15,,,
,,StandardDrawing,SD1356,,,StandardDrawing,SD1601,,,StandardDrawing,SD1601,,,StandardDrawing,SD1363,,,StandardDrawing,SD1561,,,Standard Drawing,SD1458,,,Description,Metal P5,,,StandardDrawing,SD1606,,,
,,PostType,"Timber, Steel, Flexible",,,FenceType,"Chainwire, Koala Proof",,,GateType,"Chainwire, Welded mesh",,,ControlLine,MC01A,,,Type,Motor Grid,,,Type,Steel beam,,,ControlLine,MC01A,,,ControlLine ,MC01A,,,
