,,Table 2. Fencing,,
,IFC Property Set,Attribute Name,Example,
,Project,District,Far North,
,,AssetOwner,TMR,
,,RoadSectionID,41E,
,,Datum,GDA2020,
,,Zone,56,
,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,
,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,
,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0002,
,,Specification,MRTS14,
,,StandardDrawing,SD1601,
,,FenceType,"Chainwire, Koala Proof",
,,PostType,"Timber, Steel",
,,ControlLine,MC01A,
,,StartChainage,31056,
,,EndChainage,38750,
,,TdistStart,8.078 km,
,,TdistEnd,14.749 km,
,,Length,25 m,
,,Height,2000 mm,
,,DesignVerifiedBy,Jane Citizen 12346,
,,DesignVerifiedDate,DD-MON-YYYY,
,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0001,
,,InstallationDate,DD-MON-YYYY,
,,InstalledBy,CJV Name,
,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0001,
,,AssetID,FNCW0001,
,,WarrantyPeriod,36,
,,MaintenanceInterval,12,
