,,Table 3 Gates,,
,IFC Property Set,Attribute Name,Example,
,Project,District,Far North,
,,AssetOwner,TMR,
,,RoadSectionID,41E,
,,Datum,GDA2020,
,,Zone,56,
,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,
,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,
,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,
,,Specification,MRTS14,
,,StandardDrawing,SD1601,
,,GateType,"Chainwire, Welded mesh",
,,PostType,"Timber, Steel",
,,ControlLine,MC01A,
,,Chainage,31056,
,,Tdist,8.078 km,
,,Length,3600 mm,
,,Height,1200 mm,
,,DesignVerifiedBy,Jane Citizen 12346,
,,DesignVerifiedDate,DD-MON-YYYY,
,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,
,,InstallationDate,DD-MON-YYYY,
,,InstalledBy,CJV Name,
,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,
,,AssetID,FNG002,
,,WarrantyPeriod,24,
,,MaintenanceInterval,6,
