,,Table 1. Road Edge Guide Posts,,
,IFC Property Set,Attribute Name,Example,
,Project,District,Far North,
,,AssetOwner,TMR,
,,RoadSectionID,41E,
,,Datum,GDA2020,
,,Zone,56,
,,ModelCertifiedIssuedForConstructionRPEQ,Bob Person - 12346,
,,ModelCertifiedAsConstructedSurveyor,Jane Citizen - Reg Surv 3322,
,Design,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,
,,Specification,MRTS14,
,,StandardDrawing,SD1356,
,,PostType,"Timber, Steel, Flexible",
,,ControlLine,MC01A,
,,StartChainage,31056,
,,EndChainage,38750,
,,TdistStart,8.078 km,
,,TdistEnd,14.749 km,
,,NumberOfPosts,50,
,,DesignVerifiedBy,Jane Citizen 12346,
,,DesignVerifiedDate,DD-MON-YYYY,
,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,
,,InstallationDate,DD-MON-YYYY,
,,InstalledBy,CJV Name,
,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,
,,AssetID,REGP0001,
,,WarrantyPeriod,24,
,,MaintenanceInterval,12,
